version,code,name,introduced,cancelled,valid_or_future_export,focus_2025_2026,role_PLA88,offline_file,edison_url,sha256
9360-0136/01,9360-0136,Laboratorní cvičení k bakalářské práci II,2010/2011,2021/2022,0,0,,archive/versions/version_9360-0136_01.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=9360-0136%2F01&locale=cs,9063dc14a008a409043548727dfd4a648e9fd16857db8112e2f63e900fd62000
9360-0136/02,9360-0136,Laboratorní cvičení k bakalářské práci II,2019/2020,2024/2025,0,0,,archive/versions/version_9360-0136_02.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=9360-0136%2F02&locale=cs,f6f869c4d0f85e88e0a02306f6d9b2025eb66ff9ad57800874d1455180843fb0
9360-0136/03,9360-0136,Laboratorní cvičení k bakalářské práci II,2010/2011,2021/2022,0,0,,archive/versions/version_9360-0136_03.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=9360-0136%2F03&locale=cs,8e9e1ee28d8fa20c934c28207b64fe0f922738b38243431d9affb8a258841dac
9360-0146/01,9360-0146,Měření k diplomové práci I,2010/2011,2012/2013,0,0,,archive/versions/version_9360-0146_01.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=9360-0146%2F01&locale=cs,37528142231d114f18e52e459e9c31a2484cdbc6cb1a3fb9f37f9fcba07fc74c
9360-0146/02,9360-0146,Měření k diplomové práci I,2012/2013,2020/2021,0,0,,archive/versions/version_9360-0146_02.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=9360-0146%2F02&locale=cs,e1320a9e3863f3e7858b7b6aae60d99cd4d7cea9da55b2f4acf0eeb48bb4c8dd
9360-0146/04,9360-0146,Měření k diplomové práci I,2019/2020,2024/2025,0,0,,archive/versions/version_9360-0146_04.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=9360-0146%2F04&locale=cs,768a209c5450f7431de289943dd62ffba8789e275c0558d7e2cd45d5b6fb7bc2
9360-0146/06,9360-0146,Měření k diplomové práci I,2019/2020,2024/2025,0,0,,archive/versions/version_9360-0146_06.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=9360-0146%2F06&locale=cs,327b27d56b8d138ddcac871229b9ea930be3651dfbe5a2830d18d08f8152a69e
9360-0153/01,9360-0153,Měření k diplomové práci II,2010/2011,2020/2021,0,0,,archive/versions/version_9360-0153_01.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=9360-0153%2F01&locale=cs,1488431d694dd29cd9848d0c587f333877bce2477c65ebdec132e2ed6ae240fe
9360-0153/02,9360-0153,Měření k diplomové práci II,2014/2015,2020/2021,0,0,,archive/versions/version_9360-0153_02.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=9360-0153%2F02&locale=cs,3712d518ac71fec7c7287e202959db3e77993a14f21c048a0508bd4c69189ce6
9360-0153/03,9360-0153,Měření k diplomové práci II,2019/2020,2024/2025,0,0,,archive/versions/version_9360-0153_03.html,https://edison.sso.vsb.cz/cz.vsb.edison.edu.study.prepare.web/SubjectVersion.faces?version=9360-0153%2F03&locale=cs,94059c2afdee916e31fcf20d04bc069beca4fa33b29e4dd6b0e4dfa7d5e67de8
